
872415232 bytes (872 MB, 832 MiB) copied, 87 s, 10.0 MB/s
880803840 bytes (881 MB, 840 MiB) copied, 88 s, 10.0 MB/s
897581056 bytes (898 MB, 856 MiB) copied, 89 s, 10.1 MB/s
914358272 bytes (914 MB, 872 MiB) copied, 91 s, 10.1 MB/s
922746880 bytes (923 MB, 880 MiB) copied, 91 s, 10.1 MB/s
931135488 bytes (931 MB, 888 MiB) copied, 92 s, 10.1 MB/s
947912704 bytes (948 MB, 904 MiB) copied, 93 s, 10.2 MB/s
956301312 bytes (956 MB, 912 MiB) copied, 94 s, 10.2 MB/s
964689920 bytes (965 MB, 920 MiB) copied, 95 s, 10.1 MB/s
981467136 bytes (981 MB, 936 MiB) copied, 97 s, 10.2 MB/s
989855744 bytes (990 MB, 944 MiB) copied, 97 s, 10.2 MB/s
998244352 bytes (998 MB, 952 MiB) copied, 98 s, 10.2 MB/s
1015021568 bytes (1.0 GB, 968 MiB) copied, 99 s, 10.2 MB/s
1031798784 bytes (1.0 GB, 984 MiB) copied, 100 s, 10.3 MB/s
1048576000 bytes (1.0 GB, 1000 MiB) copied, 102 s, 10.3 MB/s
1056964608 bytes (1.1 GB, 1008 MiB) copied, 103 s, 10.3 MB/s
1065353216 bytes (1.1 GB, 1016 MiB) copied, 103 s, 10.3 MB/s
1073741824 bytes (1.1 GB, 1.0 GiB) copied, 104 s, 10.3 MB/s 
1082130432 bytes (1.1 GB, 1.0 GiB) copied, 105 s, 10.3 MB/s
1090519040 bytes (1.1 GB, 1.0 GiB) copied, 106 s, 10.3 MB/s
1098907648 bytes (1.1 GB, 1.0 GiB) copied, 107 s, 10.3 MB/s
1107296256 bytes (1.1 GB, 1.0 GiB) copied, 108 s, 10.3 MB/s
1124073472 bytes (1.1 GB, 1.0 GiB) copied, 110 s, 10.2 MB/s
1132462080 bytes (1.1 GB, 1.1 GiB) copied, 111 s, 10.2 MB/s
1140850688 bytes (1.1 GB, 1.1 GiB) copied, 112 s, 10.2 MB/s
1149239296 bytes (1.1 GB, 1.1 GiB) copied, 114 s, 10.1 MB/s
1157627904 bytes (1.2 GB, 1.1 GiB) copied, 115 s, 10.1 MB/s
1166016512 bytes (1.2 GB, 1.1 GiB) copied, 116 s, 10.1 MB/s
1174405120 bytes (1.2 GB, 1.1 GiB) copied, 117 s, 10.0 MB/s
1182793728 bytes (1.2 GB, 1.1 GiB) copied, 118 s, 10.0 MB/s
1191182336 bytes (1.2 GB, 1.1 GiB) copied, 119 s, 10.0 MB/s
1199570944 bytes (1.2 GB, 1.1 GiB) copied, 121 s, 10.0 MB/s
1207959552 bytes (1.2 GB, 1.1 GiB) copied, 122 s, 9.9 MB/s 
1216348160 bytes (1.2 GB, 1.1 GiB) copied, 122 s, 9.9 MB/s
1224736768 bytes (1.2 GB, 1.1 GiB) copied, 123 s, 9.9 MB/s
1233125376 bytes (1.2 GB, 1.1 GiB) copied, 124 s, 9.9 MB/s
1241513984 bytes (1.2 GB, 1.2 GiB) copied, 125 s, 9.9 MB/s
1249902592 bytes (1.2 GB, 1.2 GiB) copied, 126 s, 9.9 MB/s
1258291200 bytes (1.3 GB, 1.2 GiB) copied, 127 s, 9.9 MB/s
1266679808 bytes (1.3 GB, 1.2 GiB) copied, 128 s, 9.9 MB/s
1275068416 bytes (1.3 GB, 1.2 GiB) copied, 129 s, 9.9 MB/s
1283457024 bytes (1.3 GB, 1.2 GiB) copied, 130 s, 9.9 MB/s
1291845632 bytes (1.3 GB, 1.2 GiB) copied, 130 s, 9.9 MB/s
1300234240 bytes (1.3 GB, 1.2 GiB) copied, 131 s, 9.9 MB/s
1308622848 bytes (1.3 GB, 1.2 GiB) copied, 132 s, 9.9 MB/s
1317011456 bytes (1.3 GB, 1.2 GiB) copied, 133 s, 9.9 MB/s
1325400064 bytes (1.3 GB, 1.2 GiB) copied, 134 s, 9.9 MB/s
1333788672 bytes (1.3 GB, 1.2 GiB) copied, 135 s, 9.9 MB/s
1342177280 bytes (1.3 GB, 1.2 GiB) copied, 135 s, 9.9 MB/s
1350565888 bytes (1.4 GB, 1.3 GiB) copied, 137 s, 9.9 MB/s
1358954496 bytes (1.4 GB, 1.3 GiB) copied, 138 s, 9.9 MB/s
1367343104 bytes (1.4 GB, 1.3 GiB) copied, 139 s, 9.9 MB/s
1375731712 bytes (1.4 GB, 1.3 GiB) copied, 139 s, 9.9 MB/s
1384120320 bytes (1.4 GB, 1.3 GiB) copied, 140 s, 9.9 MB/s
1392508928 bytes (1.4 GB, 1.3 GiB) copied, 142 s, 9.8 MB/s
1400897536 bytes (1.4 GB, 1.3 GiB) copied, 143 s, 9.8 MB/s
1409286144 bytes (1.4 GB, 1.3 GiB) copied, 144 s, 9.8 MB/s
1417674752 bytes (1.4 GB, 1.3 GiB) copied, 145 s, 9.8 MB/s
1426063360 bytes (1.4 GB, 1.3 GiB) copied, 146 s, 9.8 MB/s
1434451968 bytes (1.4 GB, 1.3 GiB) copied, 147 s, 9.7 MB/s
1442840576 bytes (1.4 GB, 1.3 GiB) copied, 148 s, 9.7 MB/s
1451229184 bytes (1.5 GB, 1.4 GiB) copied, 149 s, 9.7 MB/s
1459617792 bytes (1.5 GB, 1.4 GiB) copied, 150 s, 9.7 MB/s
